ID,Sex,Sex_1M_0F,SVL,TL,HLL,Mass,Tick_freq,Ticks_Y_N,Ticks_1Y_0N,Field Notes,Max_25cm,Max_2m,Video Notes
12_45,M,1,62,94,45,9.75,0,No,0,TAIL DROPPED AFTER LAST VIDEO BUT KEPT FOR MEASURMENT,2.901,2.042,
12_52,M,1,66,101,46,11.25,0,No,0,,3.02,2.672,
2_342,M,1,73,74,49,13,0,No,0,,3.048,2.661,Paint Brush maybe pushing lizard in R342.2
524,M,1,61,94,45,8.25,3,Yes,1,,3.055,2.238,
2523_,M,1,71,95,49,12.25,1,Yes,1,,3.067,2.058,
12_31,F,0,72,101,48,13,0,No,0,BEARD,3.119,1.622,NO SOLID FULL RUN
12_34,M,1,60,61,44,10.5,0,No,0,TAIL REGROWN,3.133,2.084,
12_53,F,0,70,103,46,14,0,No,0,,3.139,2.52,
315,M,1,70,56,46,11.25,0,No,0,,3.18,2.143,
523,M,1,68,91,45,12.25,7,Yes,1,,3.197,2.561,
335,M,1,52,75,35,4.5,0,No,0,,3.2,1.5,335.1 only 24 frames?/ 335.3 didn’t fully load 2m
12_44,M,1,62,90,44,8.75,0,No,0,3 M FROM F NB21,3.201,2.159,
1_25,F,0,63,87,45,11.25,0,No,0,,3.22,2.385,
12_33,F,0,65,67,44,11.25,0,No,0,BEARD,3.222,2.263,Trial 3 Bad Run
325,F,0,68,87,45,14.5,0,No,0,,3.251,2.163,
12_23,F,0,69,99,46,13.75,0,No,0,BEARD,3.337,2.769,
12_15,F,0,78,104,45,12.75,0,No,0,FMALE W/BEARD,3.524,2.297,
12_51,M,1,67,95,47,11.25,0,No,0,,3.548,2.378,
12_21,F,0,73,44,44,12,0,No,0,REGROWN TAIL,3.568,2.115,Vid 3 blurry/bad video
12_43,F,0,64,77,43,10,0,No,0,NO BEARD,3.94,2.667,
12_12,F,0,64,88,42,10,0,No,0,MITES ON HEAD,3.989,2.468,
11_24,F,0,74,104,47,16.75,1,Yes,1,BEARD,3.995,3.056,
12_41,M,1,63,94,49,9.25,0,No,0,1 M FROM NB 35 (F),4.003,2.331,
